id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
173715,2007-01-01,segunda,00:50:00,rj,101,321.5,niteroi,nao guardar distancia de seguranca,colisao traseira,sem vitimas,plena noite,decrescente,chuva,dupla,reta,urbano,2007,2,0,0,0,2,0,0,2,,,,,
174859,2007-01-03,quarta,15:45:00,rj,101,329,niteroi,falta de atencao,colisao traseira,sem vitimas,pleno dia,crescente,nublado,dupla,reta,urbano,2007,2,0,0,0,2,0,0,2,,,,,
175579,2007-01-01,segunda,12:00:00,rj,101,328,rio de janeiro,nao guardar distancia de seguranca,colisao traseira,sem vitimas,pleno dia,crescente,chuva,dupla,reta,urbano,2007,7,0,0,0,7,0,0,6,,,,,
176697,2007-01-03,quarta,15:50:00,rj,101,328,rio de janeiro,outras,queda de motocicleta - bicicleta - veiculo,com vitimas feridas,pleno dia,crescente,ceu claro,dupla,reta,urbano,2007,1,0,1,0,0,0,1,1,,,,,
176913,2007-01-08,segunda,10:20:00,rj,101,322,niteroi,outras,colisao com objeto fixo,sem vitimas,pleno dia,crescente,ceu claro,dupla,reta,urbano,2007,1,0,0,0,1,0,0,1,,,,,
177409,2007-01-01,segunda,12:20:00,rj,101,324,niteroi,falta de atencao,colisao traseira,sem vitimas,pleno dia,crescente,ceu claro,dupla,reta,urbano,2007,2,0,0,0,2,0,0,2,,,,,
177455,2007-01-10,quarta,05:50:00,rj,101,322,niteroi,nao guardar distancia de seguranca,colisao traseira,sem vitimas,amanhecer,decrescente,ceu claro,dupla,reta,urbano,2007,2,0,0,0,2,0,0,2,,,,,
177496,2007-01-06,sabado,18:00:00,rj,101,322.5,niteroi,falta de atencao,colisao lateral,sem vitimas,anoitecer,crescente,ceu claro,dupla,reta,urbano,2007,2,0,0,0,2,0,0,2,,,,,
177537,2007-01-07,domingo,03:15:00,rj,101,327,niteroi,falta de atencao,colisao traseira,sem vitimas,plena noite,decrescente,nublado,dupla,reta,urbano,2007,2,0,0,0,2,0,0,2,,,,,
177640,2007-01-06,sabado,15:00:00,rj,101,322.5,niteroi,nao guardar distancia de seguranca,colisao traseira,sem vitimas,pleno dia,decrescente,ceu claro,multipla,reta,urbano,2007,2,0,0,0,2,0,0,2,,,,,
177970,2007-01-03,quarta,11:45:00,rj,101,324,niteroi,outras,colisao traseira,sem vitimas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2007,2,0,0,0,2,0,0,2,,,,,
177984,2007-01-03,quarta,19:48:00,rj,101,323,niteroi,outras,colisao traseira,sem vitimas,plena noite,decrescente,chuva,dupla,reta,urbano,2007,3,0,0,0,3,0,0,3,,,,,
178124,2007-01-07,domingo,16:40:00,rj,101,326,niteroi,nao guardar distancia de seguranca,colisao lateral,com vitimas feridas,pleno dia,crescente,chuva,multipla,reta,urbano,2007,4,0,3,0,1,0,3,2,,,,,
178247,2007-01-03,quarta,16:30:00,rj,101,322,niteroi,outras,colisao lateral,sem vitimas,pleno dia,crescente,nublado,dupla,reta,urbano,2007,2,0,0,0,2,0,0,2,,,,,
178483,2007-01-12,sexta,16:30:00,rj,101,330,rio de janeiro,outras,colisao traseira,sem vitimas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2007,2,0,0,0,2,0,0,2,,,,,
178521,2007-01-12,sexta,19:00:00,rj,101,322,niteroi,outras,colisao lateral,sem vitimas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2007,2,0,0,0,2,0,0,2,,,,,
178542,2007-01-12,sexta,19:15:00,rj,101,322,niteroi,outras,colisao lateral,sem vitimas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2007,2,0,0,0,2,0,0,2,,,,,
178677,2007-01-13,sabado,03:30:00,rj,101,329,rio de janeiro,outras,colisao traseira,sem vitimas,plena noite,crescente,chuva,dupla,reta,urbano,2007,2,0,0,0,2,0,0,2,,,,,
178697,2007-01-12,sexta,11:30:00,rj,101,332,rio de janeiro,outras,colisao lateral,sem vitimas,pleno dia,crescente,nublado,dupla,reta,urbano,2007,2,0,0,0,2,0,0,2,,,,,
179181,2007-01-07,domingo,18:10:00,rj,101,330,rio de janeiro,outras,colisao traseira,sem vitimas,pleno dia,crescente,chuva,dupla,reta,urbano,2007,2,0,0,0,2,0,0,2,,,,,
179430,2007-01-07,domingo,09:30:00,rj,101,322,niteroi,falta de atencao,colisao traseira,sem vitimas,pleno dia,decrescente,nublado,multipla,reta,urbano,2007,9,0,0,0,9,0,0,3,,,,,
179809,2007-01-12,sexta,14:50:00,rj,101,330,niteroi,outras,colisao lateral,sem vitimas,pleno dia,decrescente,sol,dupla,reta,rural,2007,2,0,0,0,2,0,0,2,,,,,
